index,negativeword,rattcounter,kibucounter
1307,distasteful,0,0
1308,distastefully,0,0
1309,distort,0,0
1310,distorted,0,0
1311,distortion,0,0
1312,distorts,0,0
1313,distract,0,0
1314,distracting,0,0
1315,distraction,0,0
1316,distraught,0,0
1317,distraughtly,0,0
1318,distraughtness,0,0
1319,distress,0,0
1320,distressed,0,0
1321,distressing,0,0
1322,distressingly,0,0
1323,distrust,0,0
1324,distrustful,0,0
1325,distrusting,0,0
1326,disturb,0,0
1327,disturbance,0,0
1328,disturbed,0,0
1329,disturbing,0,0
1330,disturbingly,0,0
1331,disunity,0,0
1332,disvalue,0,0
1333,divergent,0,0
1334,divisive,0,0
1335,divisively,0,0
1336,divisiveness,0,0
1337,dizzing,0,0
1338,dizzingly,0,0
1339,dizzy,0,0
1340,doddering,0,0
1341,dodgey,0,0
1342,dogged,0,0
1343,doggedly,0,0
1344,dogmatic,0,0
1345,doldrums,0,0
1346,domineer,0,0
1347,domineering,0,0
1348,donside,0,0
1349,doom,0,0
1350,doomed,0,0
1351,doomsday,0,0
1352,dope,0,0
1353,doubt,0,0
1354,doubtful,0,0
1355,doubtfully,0,0
1356,doubts,0,0
1357,douchbag,0,0
1358,douchebag,0,0
1359,douchebags,0,0
1360,downbeat,0,0
1361,downcast,0,0
1362,downer,0,0
1363,downfall,0,0
1364,downfallen,0,0
1365,downgrade,0,0
1366,downhearted,0,0
1367,downheartedly,0,0
1368,downhill,0,0
1369,downside,0,0
1370,downsides,0,0
1371,downturn,0,0
1372,downturns,0,0
1373,drab,0,0
1374,draconian,0,0
1375,draconic,0,0
1376,drag,0,0
1377,dragged,0,0
1378,dragging,0,0
1379,dragoon,0,0
1380,drags,0,0
1381,drain,0,0
1382,drained,0,0
1383,draining,0,0
1384,drains,0,0
1385,drastic,0,0
1386,drastically,0,0
1387,drawback,0,0
1388,drawbacks,0,0
1389,dread,0,0
1390,dreadful,0,0
1391,dreadfully,0,0
1392,dreadfulness,0,0
1393,dreary,0,0
1394,dripped,0,0
1395,dripping,0,0
1396,drippy,0,0
1397,drips,0,0
1398,drones,0,0
1399,droop,0,0
1400,droops,0,0
1401,drop-out,0,0
1402,drop-outs,0,0
1403,dropout,0,0
1404,dropouts,0,0
1405,drought,0,0
1406,drowning,0,0
1407,drunk,0,0
1408,drunkard,0,0
1409,drunken,0,0
1410,dubious,0,0
1411,dubiously,0,0
1412,dubitable,0,0
1413,dud,0,0
1414,dull,0,0
1415,dullard,0,0
1416,dumb,0,0
1417,dumbfound,0,0
1418,dump,0,0
1419,dumped,0,0
1420,dumping,0,0
1421,dumps,0,0
1422,dunce,0,0
1423,dungeon,0,0
1424,dungeons,0,0
1425,dupe,0,0
1426,dust,0,0
1427,dusty,0,0
1428,dwindling,0,0
1429,dying,0,0
1430,earsplitting,0,0
1431,eccentric,0,0
1432,eccentricity,0,0
1433,effigy,0,0
1434,effrontery,0,0
1435,egocentric,0,0
1436,egomania,0,0
1437,egotism,0,0
1438,egotistical,0,0
1439,egotistically,0,0
1440,egregious,0,0
1441,egregiously,0,0
1442,election-rigger,0,0
1443,elimination,0,0
1444,emaciated,0,0
1445,emasculate,0,0
1446,embarrass,0,0
1447,embarrassing,0,0
1448,embarrassingly,0,0
1449,embarrassment,0,0
1450,embattled,0,0
1451,embroil,0,0
1452,embroiled,0,0
1453,embroilment,0,0
1454,emergency,0,0
1455,emphatic,0,0
1456,emphatically,0,0
1457,emptiness,0,0
1458,encroach,0,0
1459,encroachment,0,0
1460,endanger,0,0
1461,enemies,0,0
1462,enemy,0,0
1463,enervate,0,0
1464,enfeeble,0,0
1465,enflame,0,0
1466,engulf,0,0
1467,enjoin,0,0
1468,enmity,0,0
1469,enrage,0,0
1470,enraged,0,0
1471,enraging,0,0
1472,enslave,0,0
1473,entangle,0,0
1474,entanglement,0,0
1475,entrap,0,0
1476,entrapment,0,0
1477,envious,0,0
1478,enviously,0,0
1479,enviousness,0,0
1480,epidemic,0,0
1481,equivocal,0,0
1482,erase,0,0
1483,erode,0,0
1484,erodes,0,0
1485,erosion,0,0
1486,err,0,0
1487,errant,0,0
1488,erratic,0,0
1489,erratically,0,0
1490,erroneous,0,0
1491,erroneously,0,0
1492,error,0,0
1493,errors,0,0
1494,eruptions,0,0
1495,escapade,0,0
1496,eschew,0,0
1497,estranged,0,0
1498,evade,0,0
1499,evasion,0,0
1500,evasive,0,0
1501,evil,0,0
1502,evildoer,0,0
1503,evils,0,0
1504,eviscerate,0,0
1505,exacerbate,0,0
1506,exagerate,0,0
1507,exagerated,0,0
1508,exagerates,0,0
1509,exaggerate,0,0
1510,exaggeration,0,0
1511,exasperate,0,0
1512,exasperated,0,0
1513,exasperating,0,0
1514,exasperatingly,0,0
1515,exasperation,0,0
1516,excessive,0,0
1517,excessively,0,0
1518,exclusion,0,0
1519,excoriate,0,0
1520,excruciating,0,0
1521,excruciatingly,0,0
1522,excuse,0,0
1523,excuses,0,0
1524,execrate,0,0
1525,exhaust,0,0
1526,exhausted,0,0
1527,exhaustion,0,0
1528,exhausts,0,0
1529,exhorbitant,0,0
1530,exhort,0,0
1531,exile,0,0
1532,exorbitant,0,0
1533,exorbitantance,0,0
1534,exorbitantly,0,0
1535,expel,0,0
1536,expensive,0,0
1537,expire,0,0
1538,expired,0,0
1539,explode,0,0
1540,exploit,0,0
1541,exploitation,0,0
1542,explosive,0,0
1543,expropriate,0,0
1544,expropriation,0,0
1545,expulse,0,0
1546,expunge,0,0
1547,exterminate,0,0
1548,extermination,0,0
1549,extinguish,0,0
1550,extort,0,0
1551,extortion,0,0
1552,extraneous,0,0
1553,extravagance,0,0
1554,extravagant,0,0
1555,extravagantly,0,0
1556,extremism,0,0
1557,extremist,0,0
1558,extremists,0,0
1559,eyesore,0,0
1560,f**k,0,0
1561,fabricate,0,0
1562,fabrication,0,0
1563,facetious,0,0
1564,facetiously,0,0
1565,fail,0,0
1566,failed,0,0
1567,failing,0,0
1568,fails,0,0
1569,failure,0,0
1570,failures,0,0
1571,faint,0,0
1572,fainthearted,0,0
1573,faithless,0,0
1574,fake,0,0
1575,fall,0,0
1576,fallacies,0,0
1577,fallacious,0,0
1578,fallaciously,0,0
1579,fallaciousness,0,0
1580,fallacy,0,0
1581,fallen,0,0
1582,falling,0,0
1583,fallout,0,0
1584,falls,0,0
1585,FALSE,0,0
1586,falsehood,0,0
1587,falsely,0,0
1588,falsify,0,0
1589,falter,0,0
1590,faltered,0,0
1591,famine,0,0
1592,famished,0,0
1593,fanatic,0,0
1594,fanatical,0,0
1595,fanatically,0,0
1596,fanaticism,0,0
1597,fanatics,0,0
1598,fanciful,0,0
1599,far-fetched,0,0
1600,farce,0,0
1601,farcical,0,0
1602,farcical-yet-provocative,0,0
1603,farcically,0,0
1604,farfetched,0,0
1605,fascism,0,0
1606,fascist,0,0
1607,fastidious,0,0
1608,fastidiously,0,0
1609,fastuous,0,0
1610,fat,0,0
1611,fat-cat,0,0
1612,fat-cats,0,0
1613,fatal,0,0
1614,fatalistic,0,0
1615,fatalistically,0,0
1616,fatally,0,0
1617,fatcat,0,0
1618,fatcats,0,0
1619,fateful,0,0
1620,fatefully,0,0
1621,fathomless,0,0
1622,fatigue,0,0
1623,fatigued,0,0
1624,fatique,0,0
1625,fatty,0,0
1626,fatuity,0,0
1627,fatuous,0,0
1628,fatuously,0,0
1629,fault,0,0
1630,faults,0,0
1631,faulty,0,0
1632,fawningly,0,0
1633,faze,0,0
1634,fear,0,0
1635,fearful,0,0
1636,fearfully,0,0
1637,fears,0,0
1638,fearsome,0,0
1639,feckless,0,0
1640,feeble,0,0
1641,feeblely,0,0
1642,feebleminded,0,0
1643,feign,0,0
1644,feint,0,0
1645,fell,0,0
1646,felon,0,0
1647,felonious,0,0
1648,ferociously,0,0
1649,ferocity,0,0
1650,fetid,0,0
1651,fever,0,0
1652,feverish,0,0
1653,fevers,0,0
1654,fiasco,0,0
1655,fib,0,0
1656,fibber,0,0
1657,fickle,0,0
1658,fiction,0,0
1659,fictional,0,0
1660,fictitious,0,0
1661,fidget,0,0
1662,fidgety,0,0
1663,fiend,0,0
1664,fiendish,0,0
1665,fierce,0,0
1666,figurehead,0,0
1667,filth,0,0
1668,filthy,0,0
1669,finagle,0,0
1670,finicky,0,0
1671,fissures,0,0
1672,fist,0,0
1673,flabbergast,0,0
1674,flabbergasted,0,0
1675,flagging,0,0
1676,flagrant,0,0
1677,flagrantly,0,0
1678,flair,0,0
1679,flairs,0,0
1680,flak,0,0
1681,flake,0,0
1682,flakey,0,0
1683,flakieness,0,0
1684,flaking,0,0
1685,flaky,0,0
1686,flare,0,0
1687,flares,0,0
1688,flareup,0,0
1689,flareups,0,0
1690,flat-out,0,0
1691,flaunt,0,0
1692,flaw,0,0
1693,flawed,0,0
1694,flaws,0,0
1695,flee,0,0
1696,fleed,0,0
1697,fleeing,0,0
1698,fleer,0,0
1699,flees,0,0
1700,fleeting,0,0
1701,flicering,0,0
1702,flicker,0,0
1703,flickering,0,0
1704,flickers,0,0
1705,flighty,0,0
1706,flimflam,0,0
1707,flimsy,0,0
1708,flirt,0,0
1709,flirty,0,0
1710,floored,0,0
1711,flounder,0,0
1712,floundering,0,0
1713,flout,0,0
1714,fluster,0,0
1715,foe,0,0
1716,fool,0,0
1717,fooled,0,0
1718,foolhardy,0,0
1719,foolish,0,0
1720,foolishly,0,0
1721,foolishness,0,0
1722,forbid,0,0
1723,forbidden,0,0
1724,forbidding,0,0
1725,forceful,0,0
1726,foreboding,0,0
1727,forebodingly,0,0
1728,forfeit,0,0
1729,forged,0,0
1730,forgetful,0,0
1731,forgetfully,0,0
1732,forgetfulness,0,0
1733,forlorn,0,0
1734,forlornly,0,0
1735,forsake,0,0
1736,forsaken,0,0
1737,forswear,0,0
1738,foul,0,0
1739,foully,0,0
1740,foulness,0,0
1741,fractious,0,0
1742,fractiously,0,0
1743,fracture,0,0
1744,fragile,0,0
1745,fragmented,0,0
1746,frail,0,0
1747,frantic,0,0
1748,frantically,0,0
1749,franticly,0,0
1750,fraud,0,0
1751,fraudulent,0,0
1752,fraught,0,0
1753,frazzle,0,0
1754,frazzled,0,0
1755,freak,0,0
1756,freaking,0,0
1757,freakish,0,0
1758,freakishly,0,0
1759,freaks,0,0
1760,freeze,0,0
1761,freezes,0,0
1762,freezing,0,0
1763,frenetic,0,0
1764,frenetically,0,0
1765,frenzied,0,0
1766,frenzy,0,0
1767,fret,0,0
1768,fretful,0,0
1769,frets,0,0
1770,friction,0,0
1771,frictions,0,0
1772,fried,0,0
1773,friggin,0,0
1774,frigging,0,0
1775,fright,0,0
1776,frighten,0,0
1777,frightening,0,0
1778,frighteningly,0,0
1779,frightful,0,0
1780,frightfully,0,0
1781,frigid,0,0
1782,frost,0,0
1783,frown,0,0
1784,froze,0,0
1785,frozen,0,0
1786,fruitless,0,0
1787,fruitlessly,0,0
1788,frustrate,0,0
1789,frustrated,0,0
1790,frustrates,0,0
1791,frustrating,0,0
1792,frustratingly,0,0
1793,frustration,0,0
1794,frustrations,0,0
1795,fuck,0,0
1796,fucking,0,0
1797,fudge,0,0
1798,fugitive,0,0
1799,full-blown,0,0
1800,fulminate,0,0
1801,fumble,0,0
1802,fume,0,0
1803,fumes,0,0
1804,fundamentalism,0,0
1805,funky,0,0
1806,funnily,0,0
1807,funny,0,0
1808,furious,0,0
1809,furiously,0,0
1810,furor,0,0
1811,fury,0,0
1812,fuss,0,0
1813,fussy,0,0
1814,fustigate,0,0
1815,fusty,0,0
1816,futile,0,0
1817,futilely,0,0
1818,futility,0,0
1819,fuzzy,0,0
1820,gabble,0,0
1821,gaff,0,0
1822,gaffe,0,0
1823,gainsay,0,0
1824,gainsayer,0,0
1825,gall,0,0
1826,galling,0,0
1827,gallingly,0,0
1828,galls,0,0
1829,gangster,0,0
1830,gape,0,0
1831,garbage,0,0
1832,garish,0,0
1833,gasp,0,0
1834,gauche,0,0
1835,gaudy,0,0
1836,gawk,0,0
1837,gawky,0,0
1838,geezer,0,0
1839,genocide,0,0
1840,get-rich,0,0
1841,ghastly,0,0
1842,ghetto,0,0
1843,ghosting,0,0
1844,gibber,0,0
1845,gibberish,0,0
1846,gibe,0,0
1847,giddy,0,0
1848,gimmick,0,0
1849,gimmicked,0,0
1850,gimmicking,0,0
1851,gimmicks,0,0
1852,gimmicky,0,0
1853,glare,0,0
1854,glaringly,0,0
1855,glib,0,0
1856,glibly,0,0
1857,glitch,0,0
1858,glitches,0,0
1859,gloatingly,0,0
1860,gloom,0,0
1861,gloomy,0,0
1862,glower,0,0
1863,glum,0,0
1864,glut,0,0
1865,gnawing,0,0
1866,goad,0,0
1867,goading,0,0
1868,god-awful,0,0
1869,goof,0,0
1870,goofy,0,0
1871,goon,0,0
1872,gossip,0,0
1873,graceless,0,0
1874,gracelessly,0,0
1875,graft,0,0
1876,grainy,0,0
1877,grapple,0,0
1878,grate,0,0
1879,grating,0,0
1880,gravely,0,0
1881,greasy,0,0
1882,greed,0,0
1883,greedy,0,0
1884,grief,0,0
1885,grievance,0,0
1886,grievances,0,0
1887,grieve,0,0
1888,grieving,0,0
1889,grievous,0,0
1890,grievously,0,0
1891,grim,0,0
1892,grimace,0,0
1893,grind,0,0
1894,gripe,0,0
1895,gripes,0,0
1896,grisly,0,0
1897,gritty,0,0
1898,gross,0,0
1899,grossly,0,0
1900,grotesque,0,0
1901,grouch,0,0
1902,grouchy,0,0
1903,groundless,0,0
1904,grouse,0,0
1905,growl,0,0
1906,grudge,0,0
1907,grudges,0,0
1908,grudging,0,0
1909,grudgingly,0,0
1910,gruesome,0,0
1911,gruesomely,0,0
1912,gruff,0,0
1913,grumble,0,0
1914,grumpier,0,0
1915,grumpiest,0,0
1916,grumpily,0,0
1917,grumpish,0,0
1918,grumpy,0,0
1919,guile,0,0
1920,guilt,0,0
1921,guiltily,0,0
1922,guilty,0,0
1923,gullible,0,0
1924,gutless,0,0
1925,gutter,0,0
1926,hack,0,0
1927,hacks,0,0
1928,haggard,0,0
1929,haggle,0,0
1930,hairloss,0,0
1931,halfhearted,0,0
1932,halfheartedly,0,0
1933,hallucinate,0,0
1934,hallucination,0,0
1935,hamper,0,0
1936,hampered,0,0
1937,handicapped,0,0
1938,hang,0,0
1939,hangs,0,0
1940,haphazard,0,0
1941,hapless,0,0
1942,harangue,0,0
1943,harass,0,0
1944,harassed,0,0
1945,harasses,0,0
1946,harassment,0,0
1947,harboring,0,0
1948,harbors,0,0
1949,hard,0,0
1950,hard-hit,0,0
1951,hard-line,0,0
1952,hard-liner,0,0
1953,hardball,0,0
1954,harden,0,0
1955,hardened,0,0
1956,hardheaded,0,0
1957,hardhearted,0,0
1958,hardliner,0,0
1959,hardliners,0,0
1960,hardship,0,0
1961,hardships,0,0
1962,harm,0,0
1963,harmed,0,0
1964,harmful,0,0
1965,harms,0,0
1966,harpy,0,0
1967,harridan,0,0
1968,harried,0,0
1969,harrow,0,0
1970,harsh,0,0
1971,harshly,0,0
1972,hasseling,0,0
1973,hassle,0,0
1974,hassled,0,0
1975,hassles,0,0
1976,haste,0,0
1977,hastily,0,0
1978,hasty,0,0
1979,hate,0,0
1980,hated,0,0
1981,hateful,0,0
1982,hatefully,0,0
1983,hatefulness,0,0
1984,hater,0,0
1985,haters,0,0
1986,hates,0,0
1987,hating,0,0
1988,hatred,0,0
1989,haughtily,0,0
1990,haughty,0,0
1991,haunt,0,0
1992,haunting,0,0
1993,havoc,0,0
1994,hawkish,0,0
1995,haywire,0,0
1996,hazard,0,0
1997,hazardous,0,0
1998,haze,0,0
1999,hazy,0,0
2000,head-aches,0,0
2001,headache,0,0
2002,headaches,0,0
2003,heartbreaker,0,0
2004,heartbreaking,0,0
2005,heartbreakingly,0,0
2006,heartless,0,0
2007,heathen,0,0
2008,heavy-handed,0,0
2009,heavyhearted,0,0
2010,heck,0,0
2011,heckle,0,0
2012,heckled,0,0
2013,heckles,0,0
2014,hectic,0,0
2015,hedge,0,0
2016,hedonistic,0,0
2017,heedless,0,0
2018,hefty,0,0
2019,hegemonism,0,0
2020,hegemonistic,0,0
2021,hegemony,0,0
2022,heinous,0,0
2023,hell,0,0
2024,hell-bent,0,0
2025,hellion,0,0
2026,hells,0,0
2027,helpless,0,0
2028,helplessly,0,0
2029,helplessness,0,0
2030,heresy,0,0
2031,heretic,0,0
2032,heretical,0,0
2033,hesitant,0,0
2034,hestitant,0,0
2035,hideous,0,0
2036,hideously,0,0
2037,hideousness,0,0
2038,high-priced,0,0
2039,hiliarious,0,0
2040,hinder,0,0
2041,hindrance,0,0
2042,hiss,0,0
2043,hissed,0,0
2044,hissing,0,0
2045,ho-hum,0,0
2046,hoard,0,0
2047,hoax,0,0
2048,hobble,0,0
2049,hogs,0,0
2050,hollow,0,0
2051,hoodium,0,0
2052,hoodwink,0,0
2053,hooligan,0,0
2054,hopeless,0,0
2055,hopelessly,0,0
2056,hopelessness,0,0
2057,horde,0,0
2058,horrendous,0,0
2059,horrendously,0,0
2060,horrible,0,0
2061,horrid,0,0
2062,horrific,0,0
2063,horrified,0,0
2064,horrifies,0,0
2065,horrify,0,0
2066,horrifying,0,0
2067,horrifys,0,0
2068,hostage,0,0
2069,hostile,0,0
2070,hostilities,0,0
2071,hostility,0,0
2072,hotbeds,0,0
2073,hothead,0,0
2074,hotheaded,0,0
2075,hothouse,0,0
2076,hubris,0,0
2077,huckster,0,0
2078,hum,0,0
2079,humid,0,0
2080,humiliate,0,0
2081,humiliating,0,0
2082,humiliation,0,0
2083,humming,0,0
2084,hung,0,0
2085,hurt,0,0
2086,hurted,0,0
2087,hurtful,0,0
2088,hurting,0,0
2089,hurts,0,0
2090,hustler,0,0
2091,hype,0,0
2092,hypocricy,0,0
2093,hypocrisy,0,0
2094,hypocrite,0,0
2095,hypocrites,0,0
2096,hypocritical,0,0
2097,hypocritically,0,0
2098,hysteria,0,0
2099,hysteric,0,0
2100,hysterical,0,0
2101,hysterically,0,0
2102,hysterics,0,0
2103,idiocies,0,0
2104,idiocy,0,0
2105,idiot,0,0
2106,idiotic,0,0
2107,idiotically,0,0
2108,idiots,0,0
2109,idle,0,0
2110,ignoble,0,0
2111,ignominious,0,0
2112,ignominiously,0,0
2113,ignominy,0,0
2114,ignorance,0,0
2115,ignorant,0,0
2116,ignore,0,0
2117,ill-advised,0,0
2118,ill-conceived,0,0
2119,ill-defined,0,0
2120,ill-designed,0,0
2121,ill-fated,0,0
2122,ill-favored,0,0
2123,ill-formed,0,0
2124,ill-mannered,0,0
2125,ill-natured,0,0
2126,ill-sorted,0,0
2127,ill-tempered,0,0
2128,ill-treated,0,0
2129,ill-treatment,0,0
2130,ill-usage,0,0
2131,ill-used,0,0
2132,illegal,0,0
2133,illegally,0,0
2134,illegitimate,0,0
2135,illicit,0,0
2136,illiterate,0,0
2137,illness,0,0
2138,illogic,0,0
2139,illogical,0,0
2140,illogically,0,0
2141,illusion,0,0
2142,illusions,0,0
2143,illusory,0,0
2144,imaginary,0,0
2145,imbalance,0,0
2146,imbecile,0,0
2147,imbroglio,0,0
2148,immaterial,0,0
2149,immature,0,0
2150,imminence,0,0
2151,imminently,0,0
2152,immobilized,0,0
2153,immoderate,0,0
2154,immoderately,0,0
2155,immodest,0,0
2156,immoral,0,0
2157,immorality,0,0
2158,immorally,0,0
2159,immovable,0,0
2160,impair,0,0
2161,impaired,0,0
2162,impasse,0,0
2163,impatience,0,0
2164,impatient,0,0
2165,impatiently,0,0
2166,impeach,0,0
2167,impedance,0,0
2168,impede,0,0
2169,impediment,0,0
2170,impending,0,0
2171,impenitent,0,0
2172,imperfect,0,0
2173,imperfection,0,0
2174,imperfections,0,0
2175,imperfectly,0,0
2176,imperialist,0,0
2177,imperil,0,0
2178,imperious,0,0
2179,imperiously,0,0
2180,impermissible,0,0
2181,impersonal,0,0
2182,impertinent,0,0
2183,impetuous,0,0
2184,impetuously,0,0
2185,impiety,0,0
2186,impinge,0,0
2187,impious,0,0
2188,implacable,0,0
2189,implausible,0,0
2190,implausibly,0,0
2191,implicate,0,0
2192,implication,0,0
2193,implode,0,0
2194,impolite,0,0
2195,impolitely,0,0
2196,impolitic,0,0
2197,importunate,0,0
2198,importune,0,0
2199,impose,0,0
2200,imposers,0,0
2201,imposing,0,0
2202,imposition,0,0
2203,impossible,0,0
2204,impossiblity,0,0
2205,impossibly,0,0
2206,impotent,0,0
2207,impoverish,0,0
2208,impoverished,0,0
2209,impractical,0,0
2210,imprecate,0,0
2211,imprecise,0,0
2212,imprecisely,0,0
2213,imprecision,0,0
2214,imprison,0,0
2215,imprisonment,0,0
2216,improbability,0,0
2217,improbable,0,0
2218,improbably,0,0
2219,improper,0,0
2220,improperly,0,0
2221,impropriety,0,0
2222,imprudence,0,0
2223,imprudent,0,0
2224,impudence,0,0
2225,impudent,0,0
2226,impudently,0,0
2227,impugn,0,0
2228,impulsive,0,0
2229,impulsively,0,0
2230,impunity,0,0
2231,impure,0,0
2232,impurity,0,0
2233,inability,0,0
2234,inaccuracies,0,0
2235,inaccuracy,0,0
2236,inaccurate,0,0
2237,inaccurately,0,0
2238,inaction,0,0
2239,inactive,0,0
2240,inadequacy,0,0
2241,inadequate,0,0
2242,inadequately,0,0
2243,inadverent,0,0
2244,inadverently,0,0
2245,inadvisable,0,0
2246,inadvisably,0,0
2247,inane,0,0
2248,inanely,0,0
2249,inappropriate,0,0
2250,inappropriately,0,0
2251,inapt,0,0
2252,inaptitude,0,0
2253,inarticulate,0,0
2254,inattentive,0,0
2255,inaudible,0,0
2256,incapable,0,0
2257,incapably,0,0
2258,incautious,0,0
2259,incendiary,0,0
2260,incense,0,0
2261,incessant,0,0
2262,incessantly,0,0
2263,incite,0,0
2264,incitement,0,0
2265,incivility,0,0
2266,inclement,0,0
2267,incognizant,0,0
2268,incoherence,0,0
2269,incoherent,0,0
2270,incoherently,0,0
2271,incommensurate,0,0
2272,incomparable,0,0
2273,incomparably,0,0
2274,incompatability,0,0
2275,incompatibility,0,0
2276,incompatible,0,0
2277,incompetence,0,0
2278,incompetent,0,0
2279,incompetently,0,0
2280,incomplete,0,0
2281,incompliant,0,0
2282,incomprehensible,0,0
2283,incomprehension,0,0
2284,inconceivable,0,0
2285,inconceivably,0,0
2286,incongruous,0,0
2287,incongruously,0,0
2288,inconsequent,0,0
2289,inconsequential,0,0
2290,inconsequentially,0,0
2291,inconsequently,0,0
2292,inconsiderate,0,0
2293,inconsiderately,0,0
2294,inconsistence,0,0
2295,inconsistencies,0,0
2296,inconsistency,0,0
2297,inconsistent,0,0
2298,inconsolable,0,0
2299,inconsolably,0,0
2300,inconstant,0,0
2301,inconvenience,0,0
2302,inconveniently,0,0
2303,incorrect,0,0
2304,incorrectly,0,0
2305,incorrigible,0,0
2306,incorrigibly,0,0
2307,incredulous,0,0
2308,incredulously,0,0
2309,inculcate,0,0
2310,indecency,0,0
2311,indecent,0,0
2312,indecently,0,0
2313,indecision,0,0
2314,indecisive,0,0
2315,indecisively,0,0
2316,indecorum,0,0
2317,indefensible,0,0
2318,indelicate,0,0
2319,indeterminable,0,0
2320,indeterminably,0,0
2321,indeterminate,0,0
2322,indifference,0,0
2323,indifferent,0,0
2324,indigent,0,0
2325,indignant,0,0
2326,indignantly,0,0
2327,indignation,0,0
2328,indignity,0,0
2329,indiscernible,0,0
2330,indiscreet,0,0
2331,indiscreetly,0,0
2332,indiscretion,0,0
2333,indiscriminate,0,0
2334,indiscriminately,0,0
2335,indiscriminating,0,0
2336,indistinguishable,0,0
2337,indoctrinate,0,0
2338,indoctrination,0,0
2339,indolent,0,0
2340,indulge,0,0
2341,ineffective,0,0
2342,ineffectively,0,0
2343,ineffectiveness,0,0
2344,ineffectual,0,0
2345,ineffectually,0,0
2346,ineffectualness,0,0
2347,inefficacious,0,0
2348,inefficacy,0,0
2349,inefficiency,0,0
2350,inefficient,0,0
2351,inefficiently,0,0
2352,inelegance,0,0
2353,inelegant,0,0
2354,ineligible,0,0
2355,ineloquent,0,0
2356,ineloquently,0,0
2357,inept,0,0
2358,ineptitude,0,0
2359,ineptly,0,0
2360,inequalities,0,0
2361,inequality,0,0
2362,inequitable,0,0
2363,inequitably,0,0
2364,inequities,0,0
2365,inescapable,0,0
2366,inescapably,0,0
2367,inessential,0,0
2368,inevitable,0,0
2369,inevitably,0,0
2370,inexcusable,0,0
2371,inexcusably,0,0
2372,inexorable,0,0
2373,inexorably,0,0
2374,inexperience,0,0
2375,inexperienced,0,0
2376,inexpert,0,0
2377,inexpertly,0,0
2378,inexpiable,0,0
2379,inexplainable,0,0
2380,inextricable,0,0
2381,inextricably,0,0
2382,infamous,0,0
2383,infamously,0,0
2384,infamy,0,0
2385,infected,0,0
2386,infection,0,0
2387,infections,0,0
2388,inferior,0,0
2389,inferiority,0,0
2390,infernal,0,0
2391,infest,0,0
2392,infested,0,0
2393,infidel,0,0
2394,infidels,0,0
2395,infiltrator,0,0
2396,infiltrators,0,0
2397,infirm,0,0
2398,inflame,0,0
2399,inflammation,0,0
2400,inflammatory,0,0
2401,inflammed,0,0
2402,inflated,0,0
2403,inflationary,0,0
2404,inflexible,0,0
2405,inflict,0,0
2406,infraction,0,0
2407,infringe,0,0
2408,infringement,0,0
2409,infringements,0,0
2410,infuriate,0,0
2411,infuriated,0,0
2412,infuriating,0,0
2413,infuriatingly,0,0
2414,inglorious,0,0
2415,ingrate,0,0
2416,ingratitude,0,0
2417,inhibit,0,0
2418,inhibition,0,0
2419,inhospitable,0,0
2420,inhospitality,0,0
2421,inhuman,0,0
2422,inhumane,0,0
2423,inhumanity,0,0
2424,inimical,0,0
2425,inimically,0,0
2426,iniquitous,0,0
2427,iniquity,0,0
2428,injudicious,0,0
2429,injure,0,0
2430,injurious,0,0
2431,injury,0,0
2432,injustice,0,0
2433,injustices,0,0
2434,innuendo,0,0
2435,inoperable,0,0
2436,inopportune,0,0
2437,inordinate,0,0
2438,inordinately,0,0
2439,insane,0,0
2440,insanely,0,0
2441,insanity,0,0
2442,insatiable,0,0
2443,insecure,0,0
2444,insecurity,0,0
2445,insensible,0,0
2446,insensitive,0,0
2447,insensitively,0,0
2448,insensitivity,0,0
2449,insidious,0,0
2450,insidiously,0,0
2451,insignificance,0,0
2452,insignificant,0,0
2453,insignificantly,0,0
2454,insincere,0,0
2455,insincerely,0,0
2456,insincerity,0,0
2457,insinuate,0,0
2458,insinuating,0,0
2459,insinuation,0,0
2460,insociable,0,0
2461,insolence,0,0
2462,insolent,0,0
2463,insolently,0,0
2464,insolvent,0,0
2465,insouciance,0,0
2466,instability,0,0
2467,instable,0,0
2468,instigate,0,0
2469,instigator,0,0
2470,instigators,0,0
2471,insubordinate,0,0
2472,insubstantial,0,0
2473,insubstantially,0,0
2474,insufferable,0,0
2475,insufferably,0,0
2476,insufficiency,0,0
2477,insufficient,0,0
2478,insufficiently,0,0
2479,insular,0,0
2480,insult,0,0
2481,insulted,0,0
2482,insulting,0,0
2483,insultingly,0,0
2484,insults,0,0
2485,insupportable,0,0
2486,insupportably,0,0
2487,insurmountable,0,0
2488,insurmountably,0,0
2489,insurrection,0,0
2490,intefere,0,0
2491,inteferes,0,0
2492,intense,0,0
2493,interfere,0,0
2494,interference,0,0
2495,interferes,0,0
2496,intermittent,0,0
2497,interrupt,0,0
2498,interruption,0,0
2499,interruptions,0,0
2500,intimidate,0,0
2501,intimidating,0,0
2502,intimidatingly,0,0
2503,intimidation,0,0
2504,intolerable,0,0
2505,intolerablely,0,0
2506,intolerance,0,0
2507,intoxicate,0,0
2508,intractable,0,0
2509,intransigence,0,0
2510,intransigent,0,0
2511,intrude,0,0
2512,intrusion,0,0
2513,intrusive,0,0
2514,inundate,0,0
2515,inundated,0,0
2516,invader,0,0
2517,invalid,0,0
2518,invalidate,0,0
