index,negativeword,rattcounter,kibucounter
306,berserk,0,0
307,beseech,0,0
308,beset,0,0
309,besiege,0,0
310,besmirch,0,0
311,bestial,0,0
312,betray,0,0
313,betrayal,0,0
314,betrayals,0,0
315,betrayer,0,0
316,betraying,0,0
317,betrays,0,0
318,bewail,0,0
319,beware,0,0
320,bewilder,0,0
321,bewildered,0,0
322,bewildering,0,0
323,bewilderingly,0,0
324,bewilderment,0,0
325,bewitch,0,0
326,bias,0,0
327,biased,0,0
328,biases,0,0
329,bicker,0,0
330,bickering,0,0
331,bid-rigging,0,0
332,bigotries,0,0
333,bigotry,0,0
334,bitch,0,0
335,bitchy,0,0
336,biting,0,0
337,bitingly,0,0
338,bitter,0,0
339,bitterly,0,0
340,bitterness,0,0
341,bizarre,0,0
342,blab,0,0
343,blabber,0,0
344,blackmail,0,0
345,blah,0,0
346,blame,0,0
347,blameworthy,0,0
348,bland,0,0
349,blandish,0,0
350,blaspheme,0,0
351,blasphemous,0,0
352,blasphemy,0,0
353,blasted,0,0
354,blatant,0,0
355,blatantly,0,0
356,blather,0,0
357,bleak,0,0
358,bleakly,0,0
359,bleakness,0,0
360,bleed,0,0
361,bleeding,0,0
362,bleeds,0,0
363,blemish,0,0
364,blind,0,0
365,blinding,0,0
366,blindingly,0,0
367,blindside,0,0
368,blister,0,0
369,blistering,0,0
370,bloated,0,0
371,blockage,0,0
372,blockhead,0,0
373,bloodshed,0,0
374,bloodthirsty,0,0
375,bloody,0,0
376,blotchy,0,0
377,blow,0,0
378,blunder,0,0
379,blundering,0,0
380,blunders,0,0
381,blunt,0,0
382,blur,0,0
383,bluring,0,0
384,blurred,0,0
385,blurring,0,0
386,blurry,0,0
387,blurs,0,0
388,blurt,0,0
389,boastful,0,0
390,boggle,0,0
391,bogus,0,0
392,boil,0,0
393,boiling,0,0
394,boisterous,0,0
395,bomb,0,0
396,bombard,0,0
397,bombardment,0,0
398,bombastic,0,0
399,bondage,0,0
400,bonkers,0,0
401,bore,0,0
402,bored,0,0
403,boredom,0,0
404,bores,0,0
405,boring,0,0
406,botch,0,0
407,bother,0,0
408,bothered,0,0
409,bothering,0,0
410,bothers,0,0
411,bothersome,0,0
412,bowdlerize,0,0
413,boycott,0,0
414,braggart,0,0
415,bragger,0,0
416,brainless,0,0
417,brainwash,0,0
418,brash,0,0
419,brashly,0,0
420,brashness,0,0
421,brat,0,0
422,bravado,0,0
423,brazen,0,0
424,brazenly,0,0
425,brazenness,0,0
426,breach,0,0
427,break,0,0
428,break-up,0,0
429,break-ups,0,0
430,breakdown,0,0
431,breaking,0,0
432,breaks,0,0
433,breakup,0,0
434,breakups,0,0
435,bribery,0,0
436,brimstone,0,0
437,bristle,0,0
438,brittle,0,0
439,broke,0,0
440,broken,0,0
441,broken-hearted,0,0
442,brood,0,0
443,browbeat,0,0
444,bruise,0,0
445,bruised,0,0
446,bruises,0,0
447,bruising,0,0
448,brusque,0,0
449,brutal,0,0
450,brutalising,0,0
451,brutalities,0,0
452,brutality,0,0
453,brutalize,0,0
454,brutalizing,0,0
455,brutally,0,0
456,brute,0,0
457,brutish,0,0
458,bs,0,0
459,buckle,0,0
460,bug,0,0
461,bugging,0,0
462,buggy,0,0
463,bugs,0,0
464,bulkier,0,0
465,bulkiness,0,0
466,bulky,0,0
467,bulkyness,0,0
468,bull****,0,0
469,bull----,0,0
470,bullies,0,0
471,bullshit,0,0
472,bullshyt,0,0
473,bully,0,0
474,bullying,0,0
475,bullyingly,0,0
476,bum,0,0
477,bump,0,0
478,bumped,0,0
479,bumping,0,0
480,bumpping,0,0
481,bumps,0,0
482,bumpy,0,0
483,bungle,0,0
484,bungler,0,0
485,bungling,0,0
486,bunk,0,0
487,burden,0,0
488,burdensome,0,0
489,burdensomely,0,0
490,burn,0,0
491,burned,0,0
492,burning,0,0
493,burns,0,0
494,bust,0,0
495,busts,0,0
496,busybody,0,0
497,butcher,0,0
498,butchery,0,0
499,buzzing,0,0
500,byzantine,0,0
501,cackle,0,0
502,calamities,0,0
503,calamitous,0,0
504,calamitously,0,0
505,calamity,0,0
506,callous,0,0
507,calumniate,0,0
508,calumniation,0,0
509,calumnies,0,0
510,calumnious,0,0
511,calumniously,0,0
512,calumny,0,0
513,cancer,0,0
514,cancerous,0,0
515,cannibal,0,0
516,cannibalize,0,0
517,capitulate,0,0
518,capricious,0,0
519,capriciously,0,0
520,capriciousness,0,0
521,capsize,0,0
522,careless,0,0
523,carelessness,0,0
524,caricature,0,0
525,carnage,0,0
526,carp,0,0
527,cartoonish,0,0
528,cash-strapped,0,0
529,castigate,0,0
530,castrated,0,0
531,casualty,0,0
532,cataclysm,0,0
533,cataclysmal,0,0
534,cataclysmic,0,0
535,cataclysmically,0,0
536,catastrophe,0,0
537,catastrophes,0,0
538,catastrophic,0,0
539,catastrophically,0,0
540,catastrophies,0,0
